Commune;Commune 2;Numéro voie;Nom voie;INSEE;EPCI;Canton;Arrondissement;Numéro de tronçon;Identifiant tronçon;Code itinéraire;PNR Perche;PROPAGEACC;Statut;Propriétaire;Type propriété;Date inscription PDIPR;Date délibération commune;PDF délibération commune;URL délibération commune;Date délibération CD;PDF délibération CD;URL délibération CD;geo_point_2d;geo_shape;Longueur;OBJECTID;SHAPE_LENG;st_length(shape)
La Puisaye;;16;de la Puisaye au Mineray;28310;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr4.1;tr4.1-28310;F15.E-28310,F15.H1-28373,GRPVBA-28373;Non;1;Chemin rural;Commune;Domaine privé de la commune;2006-12-01;2003-04-02;;;;;;48.612498793329124, 0.9607884035197266;"{""coordinates"": [[0.9629097838239884, 48.61477779593934], [0.9627904396817117, 48.6145744875893], [0.9618435216408734, 48.61354893709351], [0.9613097398587719, 48.61317399583278], [0.9605257426166864, 48.612333668062504], [0.9598625435764069, 48.61162554931349], [0.9595810889586115, 48.6112257212918], [0.9593829186996048, 48.61078977983046], [0.9590841496813973, 48.61057515151229], [0.9587828959986321, 48.61013661182985]], ""type"": ""LineString""}";603;1;603.49667301;603.4966730150953
Saint-Germain-le-Gaillard;;10;dit chemin perdu;28339;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr5.1;tr5.1-28339;FVTT6.B-28116;Non;1;Chemin rural;Commune;Domaine privé de la commune;2009-07-03;2009-03-24;;;;;;48.432188835205785, 1.2526629091055543;"{""coordinates"": [[1.2479057829643196, 48.43242738298574], [1.2484733405526662, 48.432341902795265], [1.2498032112192448, 48.43212206569075], [1.2516197889661307, 48.43213909208752], [1.254534873511575, 48.43219469034636], [1.2566852385853096, 48.43217832899095], [1.2574386968041615, 48.43221065479961]], ""type"": ""LineString""}";709;12;709.44129828;709.4412982782652
Saint-Éliph;;43;de St Eliph à St Victor de Buthon;28335;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr3.1;tr3.1-28335;F*.2-28214,GR35-28000;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2013-11-08;2013-06-07;;;;;;48.43478543886578, 1.0017830347059058;"{""coordinates"": [[1.0054038033927868, 48.43682948527469], [1.0041521022700057, 48.43627069843025], [1.0034909361483915, 48.436131593106616], [1.002884657380387, 48.43596066783873], [1.0026240389668342, 48.43575686708412], [1.002141056708744, 48.43551955810373], [1.0016181916658327, 48.435112377617045], [1.0009038660777716, 48.43418020585904], [0.999958388350198, 48.43346637067291], [0.999304128475017, 48.43284960757628], [0.9990280996620554, 48.43246398212901], [0.9989265903764611, 48.432227784695485], [0.9990052022645622, 48.43189483601857]], ""type"": ""LineString""}";763;13;763.41288851;763.4128885106965
Saint-Éliph;;14;de l'Augerie au Favril;28335;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr11.1;tr11.1-28335;;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2013-11-08;2013-06-07;;;;;;48.4657094680625, 1.0672519717937978;"{""coordinates"": [[1.074269183068204, 48.46216250171626], [1.0741658445438675, 48.462278538364686], [1.0739301673967607, 48.462417143941984], [1.073601677798457, 48.46248676943737], [1.0733611002291177, 48.462571756568686], [1.0728835798091263, 48.462975600315325], [1.072452857791648, 48.46322066494492], [1.0720960190216546, 48.46343272694257], [1.0694509244481682, 48.46497545321141], [1.0687526389073367, 48.46541766603304], [1.0684595185067918, 48.4656486111296], [1.067641339419726, 48.46584601016122], [1.0657919858938159, 48.466190891736815], [1.0654653541929249, 48.46631056977676], [1.064845052846161, 48.4666754591019], [1.064322891072087, 48.466970812237946], [1.0632226921472498, 48.46741685877546], [1.0625765804838478, 48.467752744865024], [1.0600444283387422, 48.46895946806732]], ""type"": ""LineString""}";1315;15;1315.16715862;1315.1671586229093
Saint-Éliph;;3;de St Eliph à Vaupillon;28335;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr17.1;tr17.1-28335;F*.1-28214;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2013-11-08;2013-06-07;;;;;;48.45392809181624, 1.014495006430505;"{""coordinates"": [[1.0231999618582364, 48.45077622376161], [1.0226269523722988, 48.450916767894974], [1.0215493576884849, 48.45134051637544], [1.0207823998771695, 48.45184806300398], [1.0206745095586196, 48.45207555121152], [1.0204625504453333, 48.452436823311615], [1.0202352448111858, 48.45259490799407], [1.0189022350132355, 48.45259557621345], [1.0178042333717594, 48.45275373951028], [1.0168302112714704, 48.45295473489401], [1.0160776433899865, 48.453096922284566], [1.0152434910811092, 48.453247975265384], [1.0143999051430996, 48.453330776610514], [1.0133273787033716, 48.45365249751294], [1.0122377568394427, 48.45406841209183], [1.0118618604373584, 48.45430617018777], [1.0114396943613957, 48.45467019649466], [1.0108071998872243, 48.45521709349353], [1.010413929539689, 48.455558724760884], [1.0099246557926524, 48.455894092496145], [1.0094931860728127, 48.456004607369465], [1.0089569835794299, 48.45603237291685], [1.0085363223402204, 48.45610462967321], [1.00804827347351, 48.456371976382], [1.007546216396231, 48.45672219610747], [1.0073283891657268, 48.45691568664049], [1.00692349917384, 48.457397471900784], [1.0065023732844325, 48.457722581710165], [1.006093560562303, 48.457901402647366]], ""type"": ""LineString""}";1578;19;1578.05272778;1578.0527277822248
Saint-Luperce;;16;d'Araumond au Lavoir de Blanville;28350;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr4.1;tr4.1-28350;FVTT6.B-28116,GRPVE-28134;Non;1;Sentier rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-16;;;;;;48.44655840617176, 1.2917495831303327;"{""coordinates"": [[1.2902174969038944, 48.449140784653935], [1.2905343351816756, 48.44875251280613], [1.290806568912923, 48.44830028051706], [1.290686999891734, 48.44795252805919], [1.290790625570139, 48.44775030422027], [1.2909402894141795, 48.44755008855185], [1.290904539391546, 48.44704034199743], [1.2909490818576284, 48.446455033935976], [1.2909272194366568, 48.44607230774035], [1.291008147787839, 48.44596277488898], [1.2934267773728159, 48.44533213101688], [1.294180280816906, 48.44512453132649], [1.2944096427693794, 48.445035908564385]], ""type"": ""LineString""}";641;23;641.56222406;641.5622240559227
Saint-Luperce;;17;d'Hartencourt à la Gadelière;28350;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr9.1;tr9.1-28350;GRPVE-28134;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-16;;;;;;48.43458253079187, 1.325726188877956;"{""coordinates"": [[1.3230270589327187, 48.437672694003766], [1.3234156726251667, 48.43709964477417], [1.3237287316329112, 48.436707660382815], [1.324158765854705, 48.43618161998505], [1.324301202746975, 48.436090779175416], [1.3247951071213817, 48.43611198019387], [1.3251717894082085, 48.4360049909698], [1.325631325998175, 48.435781003914585], [1.3264514151307818, 48.43497118789118], [1.3266225995998633, 48.43482003945491], [1.3272024706288275, 48.43447466348117], [1.3272640834576857, 48.43435108977462], [1.3275114611267425, 48.43387190782149], [1.3275215983711, 48.43372205823194], [1.327323436333646, 48.43362491728437], [1.3267911797527443, 48.433509595884296], [1.3264374171239346, 48.43338892903892], [1.326172278341085, 48.43328876446384], [1.3261276411853546, 48.43317385495317], [1.3265177162974133, 48.4324307983121], [1.3265396496081325, 48.43220114431927], [1.3263281577018182, 48.43210173752936], [1.325764346068298, 48.431943789505794], [1.3253475725472366, 48.431615772854606]], ""type"": ""LineString""}";934;24;934.01108992;934.0110899200479
Saint-Luperce;;25;dit des Devises;28350;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr13.1;tr13.1-28350;FVTT6.B-28116;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-16;;;;;;48.442090755234446, 1.2964420373494177;"{""coordinates"": [[1.2909792726922538, 48.44198562851516], [1.2917870444459532, 48.442041901000174], [1.292457379262071, 48.442006728849435], [1.2931285647246333, 48.441915378992626], [1.294469209297536, 48.44181561402072], [1.2951710726897212, 48.44185594099795], [1.296065136856757, 48.44198139184406], [1.29658932064669, 48.44209307990145], [1.2973554155806006, 48.44219335631046], [1.2983744276182037, 48.442356775756615], [1.2989702510204062, 48.44246650376918], [1.299483151567823, 48.44251254379986], [1.2999884731579237, 48.44243670300843], [1.3004891092424204, 48.44225156403878], [1.3007762111641703, 48.44213871530894], [1.3018142745867032, 48.44179894153522]], ""type"": ""LineString""}";830;26;830.77591235;830.7759123486932
Chuisnes;;59;;28099;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr4.1;tr4.1-28099;;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-03-07;2007-07-17;;;;;;48.45669115825944, 1.2066163164050734;"{""coordinates"": [[1.2073743434617714, 48.456861111333666], [1.2065955615002586, 48.456690304830985], [1.2060544349798954, 48.456562131814735], [1.2058615701484987, 48.4565077899785]], ""type"": ""LineString""}";118;31;118.58685862;118.58685861560726
Chuisnes;;41;dit du Bois des Fourches;28099;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr7.1;tr7.1-28099;TCentre.23-28099,GRPVE-28134;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-07-17;;;;;;48.45002582315294, 1.2021600868410673;"{""coordinates"": [[1.1998721376392483, 48.45127480978524], [1.2011965281639942, 48.45066514730802], [1.2021747178362876, 48.45016212736852], [1.20294826051069, 48.44967742914183], [1.203479596104571, 48.449367625140646], [1.2037831405731076, 48.448811521454374], [1.203911925590981, 48.4484991943738], [1.2039883912518208, 48.4483039282619]], ""type"": ""LineString""}";465;33;465.53700448;465.5370044788835
Chuisnes;;55;de Chuisnes à Courville sur Eure;28099;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr10.1;tr10.1-28099;;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-07-17;;;;;;48.44822264414526, 1.2114868628847244;"{""coordinates"": [[1.2151353199077621, 48.44830487152114], [1.2133197203969017, 48.44829895300523], [1.2117379457969457, 48.44829655648996], [1.2112043132988457, 48.44824320351498], [1.2100631818081247, 48.448079129610896], [1.2090700440738174, 48.44813013720289], [1.208460763162407, 48.448125945813246], [1.2078442706618, 48.44818305961689]], ""type"": ""LineString""}";542;35;542.2180634;542.2180634055194
Boissy-lès-Perche;;;de Bertin à la Villeneuve;28046;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr8.1;tr8.1-28046;GRPBA-28000;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-07-04;2008-02-08;;;;;;48.65504849598662, 0.9350064700681603;"{""coordinates"": [[0.9301467873375826, 48.654727536033924], [0.9308488630324815, 48.654994576626066], [0.9320254317851234, 48.65522783592606], [0.9335768750743922, 48.65545517434009], [0.9349144847590264, 48.655376039269974], [0.9368361764143214, 48.6550219555353], [0.9378697380656852, 48.65471676745462], [0.9390733163758671, 48.65456174678489], [0.9398782643507106, 48.65435543348512]], ""type"": ""LineString""}";750;39;750.19552882;750.1955288201975
La Chapelle-Fortin;;16;de La Chapelle-Fortin aux Loges;28077;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr4.1;tr4.1-28077;T28.9-28149;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-09-14;2007-06-07;;;;;;48.64178250532676, 0.8722319958242305;"{""coordinates"": [[0.8656828755226211, 48.64520103761805], [0.8661521126918005, 48.644883278744786], [0.8664687178403226, 48.64469610741439], [0.8670592303248262, 48.644399563300674], [0.8674489898783793, 48.64426845649993], [0.8689323349167392, 48.643925982798244], [0.8694092136380173, 48.643772620840345], [0.8697023243562729, 48.643632636349], [0.870034430999834, 48.64341716381162], [0.8705816285444091, 48.64303650074084], [0.8710856503672862, 48.64274553364153], [0.8718875341187404, 48.642353091531525], [0.8721836964699962, 48.64219102640544], [0.8729545081317348, 48.64166710095022], [0.8733946602219047, 48.64135593735664], [0.8738838826160237, 48.641118461919], [0.8748690338482704, 48.640719175027016], [0.8755756496626634, 48.640373505267306], [0.8763731717782014, 48.63993061909988], [0.8765839657988784, 48.63978200764681], [0.8767097052273013, 48.63964296546104], [0.8757100566971528, 48.639044570390176], [0.8755068923952594, 48.638881918922685], [0.8761925305478977, 48.63818941955675], [0.8767375977181706, 48.637686108329746]], ""type"": ""LineString""}";1316;42;1316.82477861;1316.824778618257
Courville-sur-Eure;;;parcelle n° 100 d section AE;28116;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr16.1;tr16.1-28116;FVTT6.B-28116;Non;1;Parcelle communale;Commune;Domaine privé de la commune;2007-11-09;2007-09-04;;;;;;48.44351697452896, 1.2397426065226962;"{""coordinates"": [[1.238967022780162, 48.44359082411056], [1.2396142162345276, 48.44349947778795], [1.240521912376646, 48.44349389384204]], ""type"": ""LineString""}";116;45;116.06042178;116.06042177960649
Courville-sur-Eure;;4;de Courville à Chuisnes;28116;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr1.1;tr1.1-28116;FVTT6.A-28116;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-09-04;;;;;;48.452138768803565, 1.2275190099300928;"{""coordinates"": [[1.2248829675619295, 48.45271195231854], [1.2256749677800636, 48.45247023322467], [1.227420711625105, 48.45212490458341], [1.227581568720045, 48.452130878457716], [1.2278848330916947, 48.452053267665356], [1.23017931477772, 48.45167323562258]], ""type"": ""LineString""}";409;47;409.88570225;409.88570224634276
Courville-sur-Eure;;22;de Lancey au Moulin de la Place;28116;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr9.1;tr9.1-28116;FVTT6.B-28116,GRPVE-28134;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-09-04;;;;;;48.448161979362766, 1.266483242249713;"{""coordinates"": [[1.260828185223455, 48.44513281159078], [1.2621645566053912, 48.446139312999215], [1.2632894179785898, 48.44697003113551], [1.2639742299881516, 48.44725622920874], [1.2656651813576565, 48.44785235643026], [1.266894760096317, 48.44833220354927], [1.2679130322219707, 48.44870895749932], [1.2693596605192388, 48.44923426994566], [1.270193280356326, 48.44967074358959], [1.2704377260302677, 48.44985525026601], [1.270707501931023, 48.45014012047387], [1.2714920370827527, 48.45066104902622], [1.2719605824727869, 48.45099642685485], [1.2721776457044938, 48.451123165993614]], ""type"": ""LineString""}";1085;50;1085.76243992;1085.7624399223514
Le Favril;;;de la Tuilerie aux Merciers à Pontgouin;28148;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr3.1;tr3.1-28148;;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-12-05;2008-09-30;;;;;;48.47458832770158, 1.087790705399879;"{""coordinates"": [[1.0955620018213132, 48.478198943905824], [1.0944855522894446, 48.47770222668004], [1.092072781777537, 48.47642322333362], [1.089494814092956, 48.47499523279221], [1.0882222933298762, 48.474540232030506], [1.0840517827686131, 48.473038499890485], [1.081986847081466, 48.47224049505382], [1.0816051673914584, 48.47207162622688], [1.081415386460229, 48.47191097580935], [1.0811224482247115, 48.471788373017105], [1.0808177804690373, 48.47170272770068], [1.079802208888169, 48.471593868620836]], ""type"": ""LineString""}";1389;51;1389.43722164;1389.4372216388083
Le Favril;;;de St Eliph à Pontgouin;28148;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr4.1;tr4.1-28148;;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-12-05;2008-09-30;;;;;;48.47076390121035, 1.0788708217025726;"{""coordinates"": [[1.079802208888169, 48.471593868620836], [1.0786466505562586, 48.470515658534325], [1.078376509984, 48.47031485901463], [1.0778629728683282, 48.47003869138258]], ""type"": ""LineString""}";225;52;225.94294616;225.94294616255178
Le Favril;;;dit de César;28148;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr5.1;tr5.1-28148;GRPVE-28134;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-12-05;2008-09-30;;;;;;48.473297781878586, 1.1554027989470177;"{""coordinates"": [[1.1451304954052415, 48.47668266536973], [1.146963288706716, 48.4759898764556], [1.1490086330517175, 48.47546227366089], [1.1507428937809225, 48.475022645782914], [1.1528674817851787, 48.47447954525847], [1.154589453305095, 48.473980148838244], [1.1570744570798814, 48.47306163572445], [1.1592873927636949, 48.47224123107311], [1.1599470471682674, 48.471910991339016], [1.1623117896708501, 48.47043338108329], [1.162926629502676, 48.47005243348586], [1.1631925202092268, 48.469923218461396], [1.1648404296283965, 48.46948681261169], [1.1653508075366028, 48.46932803928606], [1.1653149579742657, 48.46927218282518]], ""type"": ""LineString""}";1726;53;1726.52327837;1726.523278365498
La Ferté-Vidame;;31;de Mousseuse aux Rableux;28149;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr5.1;tr5.1-28149;T28.9-28149;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2007-09-14;2007-06-15;;;;;;48.618352106586045, 0.8874849544361793;"{""coordinates"": [[0.8889049111774451, 48.621870615109295], [0.8885020306961027, 48.62095281892169], [0.8872197051537135, 48.61768305728629], [0.8860971184336197, 48.614820257488766]], ""type"": ""LineString""}";810;61;810.7049572;810.7049571968242
Fontaine-Simon;;;de la Ballastière;28156;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr1.1;tr1.1-28156;GRPVE-28134;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-10-03;2007-06-22;;;;;;48.509984497129906, 1.023642633278603;"{""coordinates"": [[1.0233859829560144, 48.51025328512309], [1.0235682564181856, 48.51006912441397], [1.023894105860473, 48.50971079675245]], ""type"": ""LineString""}";71;66;71.04111977;71.04111976927199
Authon-du-Perche;AUTHON-DU-PERCHE;;parcelle 54 section ZP;28018;Perche;Brou;NOGENT-LE-ROTROU;tr6.1;tr6.1-28018;F23.C-28018,VTT12-28018,FEq14.C-28018;Oui;1;Parcelle communale;Commune;Domaine privé de la commune;2008-03-07;2007-10-26;;;;;;48.20643536281111, 0.8562942593890637;"{""coordinates"": [[0.8590269229355774, 48.205085983057515], [0.8580635195186164, 48.205585210919125], [0.8581628803007467, 48.205720098291835], [0.8578371571445031, 48.205895471795664], [0.857404837733669, 48.20614483920302], [0.8569977897908952, 48.20629820957365], [0.8567142932993655, 48.2064359588917], [0.8562025828153884, 48.2066660192029], [0.8559196624477383, 48.20678948771948], [0.8552577174414515, 48.20690250132251], [0.8549169188824202, 48.20700348274555], [0.8543401252306052, 48.2071251821049], [0.8536881268387635, 48.20725622880439], [0.8532743755102509, 48.20739874793159]], ""type"": ""LineString""}";520;67;520.95944492;520.95944491992
Authon-du-Perche;AUTHON-DU-PERCHE;26;dit du Bois de Rome;28018;Perche;Brou;NOGENT-LE-ROTROU;tr7.1;tr7.1-28018;F23.C-28018,VTT12-28018,FEq14.C-28018;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-10-26;;;;;;48.208383415200835, 0.8512810019344073;"{""coordinates"": [[0.8532743755102509, 48.20739874793159], [0.8528492625665763, 48.207557729292155], [0.8519547656987467, 48.207868929831896], [0.8513997041124814, 48.2081565297255], [0.8509509625182076, 48.208457969412656], [0.8502769574330181, 48.20904109629221], [0.8498640480485067, 48.20933722982646], [0.8494478254024048, 48.20965496748329]], ""type"": ""LineString""}";384;68;384.35157853;384.3515785297162
Authon-du-Perche;AUTHON-DU-PERCHE;;parcelle 7 section ZO;28018;Perche;Brou;NOGENT-LE-ROTROU;tr18.1;tr18.1-28018;F23.C-28018;Oui;1;Parcelle communale;Commune;Domaine privé de la commune;2008-03-07;2007-10-26;;;;;;48.2035363053169, 0.8827473724719681;"{""coordinates"": [[0.8836976678704884, 48.20437744778548], [0.8834440118476719, 48.20430621803079], [0.8826084896860152, 48.20381969312392], [0.8822554944741764, 48.202317746912286]], ""type"": ""LineString""}";271;72;271.73021627;271.73021627239575
Vald'Yerre;VALD'YERRE;;chemin du bord de l'Yerre;28012;Grand Châteaudun;Brou;CHATEAUDUN;tr44.2;tr44.2-28012;T28.35-28012;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-12-10;2007-09-28;;;;;;48.099544082341225, 1.1181770173229784;"{""coordinates"": [[1.1155701201229453, 48.10070385590989], [1.1176923104919572, 48.099753824963074], [1.1182788793910505, 48.09945597276942], [1.1189446252688577, 48.09933085206485], [1.1192167117929415, 48.09917801290903], [1.1195875246826212, 48.09924823168475], [1.1198974281794405, 48.098931666980995], [1.1201951444403595, 48.09835770197064], [1.120198191506194, 48.09797194058829]], ""type"": ""LineString""}";503;73;503.85004845;503.85004845029385
Authon-du-Perche;AUTHON-DU-PERCHE;;parcelle 54 section ZP;28018;Perche;Brou;NOGENT-LE-ROTROU;tr6.2;tr6.2-28018;;Oui;1;Parcelle communale;Commune;Domaine privé de la commune;2008-03-07;2007-10-26;;;;;;48.20336292229794, 0.8646166481357591;"{""coordinates"": [[0.868868357264531, 48.20153256694489], [0.8689685528251744, 48.2018082550054], [0.8694256941237533, 48.201846273255796], [0.8695276945595061, 48.202077339336405], [0.8690010821711542, 48.20237655274741], [0.8683364001534327, 48.202501161004136], [0.8674724582670108, 48.20269642808499], [0.8669833110740032, 48.20288195193683], [0.8665128478111657, 48.203170739859466], [0.8660916174692085, 48.20329735018395], [0.8657411642052767, 48.203263084586986], [0.8654578742903134, 48.20314208227845], [0.8651741815033248, 48.203035497274456], [0.8648432232833233, 48.20307565665548], [0.8638654370647092, 48.20337250326319], [0.863227060135741, 48.203437654231976], [0.8622339026101957, 48.203512775610974], [0.861785787790378, 48.20377297577084], [0.8615745453775904, 48.20427003107885], [0.861258118959662, 48.20456073167457], [0.8608125078958218, 48.20473132170706], [0.8599944282994849, 48.2048828061995], [0.8593540505075199, 48.204963365276654], [0.8590269229355774, 48.205085983057515]], ""type"": ""LineString""}";1007;74;1007.90808112;1007.9080811164666
Authon-du-Perche;AUTHON-DU-PERCHE;17;dit de la Cheminée;28018;Perche;Brou;NOGENT-LE-ROTROU;tr1.1;tr1.1-28018;F23.C-28018,VTT12-28018;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-10-26;;;;;;48.20314539475648, 0.8752241546711643;"{""coordinates"": [[0.8782897857129771, 48.20213304182026], [0.8774753776411162, 48.20224820331152], [0.8765327956629074, 48.20259206286492], [0.8754464008047872, 48.20302978241117], [0.8747281984456268, 48.2033247447631], [0.8738579277473876, 48.20374768078995], [0.8732366153206571, 48.20393786793051], [0.8727026963217828, 48.204108332113925], [0.8721765853033918, 48.20423777952056]], ""type"": ""LineString""}";514;75;514.79679371;514.7967937060697
Authon-du-Perche;AUTHON-DU-PERCHE;;parcelles 7 section ZO;28018;Perche;Brou;NOGENT-LE-ROTROU;tr29.1;tr29.1-28018;;Oui;1;Parcelle communale;Commune;Domaine privé de la commune;2008-03-07;2007-10-26;;;;;;48.205163268148034, 0.8832325866154539;"{""coordinates"": [[0.8850189140276308, 48.20536802601816], [0.8852238808058848, 48.20487633476377], [0.8853673061692631, 48.204497854367595], [0.8850084964376489, 48.20420564350263], [0.8845370951703202, 48.20441153928778], [0.8842374343378562, 48.204568947277224], [0.883854796757115, 48.205256673465954], [0.8828148690711901, 48.205957262705454], [0.8815748626224787, 48.20631607516713], [0.881309618897584, 48.20618656878318], [0.8813230608803775, 48.20602100845149], [0.8814131838353276, 48.20555107818806], [0.8815183606013054, 48.20523860077453], [0.8820888921000415, 48.20504878299679], [0.8826756534866671, 48.20480603436644], [0.8832933970209268, 48.204508331880184], [0.8836976678704884, 48.20437744778548], [0.8842374343378562, 48.204568947277224]], ""type"": ""LineString""}";868;76;868.92791716;868.9279171600405
Authon-du-Perche;AUTHON-DU-PERCHE;25;dit du Haut du chatellier;28018;Perche;Brou;NOGENT-LE-ROTROU;tr38.1;tr38.1-28018;FEq.14A-28018,FEq14.C-28018,T28-27-28018;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-10-26;;;;;;48.1851317478548, 0.8954041330003107;"{""coordinates"": [[0.8941025085911608, 48.182850702954184], [0.89505848160683, 48.1844001651458], [0.8953756947014748, 48.18492976684052], [0.8949297736913122, 48.18539515350093], [0.8954213153225694, 48.18568375318057], [0.8966438108105309, 48.18628604862781], [0.8966142193350285, 48.18647009266838], [0.8964082833866879, 48.18672244244009], [0.8962733753900319, 48.18696617245931], [0.8963502257332809, 48.18717390587115]], ""type"": ""LineString""}";577;78;577.76129256;577.7612925512989
Brou;;;du Puits-au-Coq à Beaufour et à Villemaigre;28061;Grand Châteaudun;Brou;CHATEAUDUN;tr3.1;tr3.1-28061;FVTT7.A-28061,FVTT7.B-28061,FVTT7.C-28061;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-10-03;2007-09-26;;;;;;48.23165184656102, 1.1769517187707585;"{""coordinates"": [[1.1838474419259284, 48.23310142207483], [1.1827255857368635, 48.23276508388828], [1.1822607647449102, 48.23260076962874], [1.1817069364648407, 48.23233030838791], [1.1810772040689514, 48.231987237755064], [1.1802771466293505, 48.23162249020781], [1.1799752848230618, 48.23169404155744], [1.1797191279739163, 48.23168057108676], [1.1796029373905008, 48.231535904466426], [1.1794653751646007, 48.231390907544764], [1.1789777238094958, 48.23126909206466], [1.178269871834196, 48.23112482939978], [1.1777550441816504, 48.23096448869949], [1.1767547177732838, 48.23062044129129], [1.1756884740009488, 48.230327754495896], [1.174959641543695, 48.230378413555414], [1.174170822901807, 48.230475260545866], [1.1740159232355076, 48.23045908598026], [1.1737330732869569, 48.23060692316322], [1.173397243273116, 48.23094048909953], [1.1731660292592054, 48.23149349794249], [1.173145013259641, 48.23193631127403], [1.1729972942316613, 48.23225656934878], [1.1721297824552055, 48.23263976008293], [1.171593643131497, 48.23288864507642], [1.1706125796401927, 48.23335598117581]], ""type"": ""LineString""}";1261;83;1261.07119813;1261.071198134013
Brou;;;dit de la Bretonnière;28061;Grand Châteaudun;Brou;CHATEAUDUN;tr5.1;tr5.1-28061;FVTT7.A-28061,FVTT7.B-28061,FVTT7.C-28061;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-10-03;2007-09-26;;;;;;48.23993259732118, 1.1686782492081462;"{""coordinates"": [[1.1712140628190666, 48.237873939691866], [1.1694027064216468, 48.23842468481891], [1.169206100629672, 48.238571111028804], [1.169253400049811, 48.238871378460274], [1.1689118927173836, 48.23893534794577], [1.1685676636922557, 48.239147424760915], [1.1681126499049084, 48.239521377158276], [1.1678805104152987, 48.2398416333814], [1.167538367003589, 48.24066025075632], [1.1674553105176702, 48.24093547517888], [1.1679028584950302, 48.24176366898866], [1.1679645351949168, 48.24214324823081], [1.1679719832036675, 48.242789324811746], [1.1680443358520498, 48.243108236847284]], ""type"": ""LineString""}";730;85;730.99133386;730.9913338539603
Brou;;;de Bellevue à Montabizard;28061;Grand Châteaudun;Brou;CHATEAUDUN;tr8.1;tr8.1-28061;FVTT7.A-28061,FVTT7.B-28061,FVTT7.C-28061;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-10-03;2007-09-26;;;;;;48.226263271529106, 1.1551749991247908;"{""coordinates"": [[1.1545622131168756, 48.22895398850041], [1.154110392128559, 48.22903265784664], [1.1538421713107474, 48.22895702836877], [1.1535679938490642, 48.22885729356489], [1.1534838361815227, 48.22880855010652], [1.1535958958265304, 48.228579422830975], [1.153852909839103, 48.228039202240254], [1.1538788977872467, 48.227865578626485], [1.1544735614475954, 48.226901740440674], [1.1552426202128516, 48.22594019445954], [1.1555849941077538, 48.22569506466249], [1.156303148472301, 48.22461650072552], [1.1566873165364402, 48.2239187618182], [1.1571785640709658, 48.223129064232126], [1.1573184939381573, 48.22289787730403]], ""type"": ""LineString""}";807;88;807.81197101;807.8119710085444
