Commune;Commune 2;Numéro voie;Nom voie;INSEE;EPCI;Canton;Arrondissement;Numéro de tronçon;Identifiant tronçon;Code itinéraire;PNR Perche;PROPAGEACC;Statut;Propriétaire;Type propriété;Date inscription PDIPR;Date délibération commune;PDF délibération commune;URL délibération commune;Date délibération CD;PDF délibération CD;URL délibération CD;geo_point_2d;geo_shape;Longueur;OBJECTID;SHAPE_LENG;st_length(shape)
Fontaine-Simon;;2;;28156;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr9.1;tr9.1-28156;TPerche.10-28156;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-10-03;2007-06-22;;;;;;48.51559324674308, 1.0250203403096376;"{""coordinates"": [[1.024317476776049, 48.51568657965303], [1.0249836272599455, 48.51558478021546], [1.0254527895222596, 48.51554775055684], [1.0257259377561154, 48.515522825854106]], ""type"": ""LineString""}";105;1110;105.73804076;105.73804075021933
Eole-en-Beauce;EOLE-EN-BEAUCE;7;de Grandvilliers à Viabon;28406;Cœur de Beauce;Voves;CHARTRES;tr4.1;tr4.1-28406;;Non;1;Chemin rural;Commune;Domaine privé de la commune;2009-07-03;2008-10-22;;;;;;48.18697729012051, 1.713091364873514;"{""coordinates"": [[1.714025764360301, 48.18953607396116], [1.7130777452432753, 48.18698641164259], [1.7123198833168454, 48.1847736618202], [1.7121466960049927, 48.18442480300321]], ""type"": ""LineString""}";585;1112;585.12048957;585.1204895750383
Senonches;;;parcelles 532, 533, 531, 530 section A;28373;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr25.1;tr25.1-28373;GRPVBA-28373;Oui;1;Parcelle communale;Commune;Domaine privé de la commune;2009-07-03;2009-04-15;;;;;;48.55697303917346, 1.0372892974653498;"{""coordinates"": [[1.0361474543545137, 48.557741655400136], [1.0363779713327748, 48.55750866283357], [1.0365802421122594, 48.557422722297765], [1.0367981351232038, 48.557494171878496], [1.0370196395352254, 48.55746925863766], [1.0370707758133018, 48.55710941177612], [1.0372491023981973, 48.556944508156036], [1.0376912701798138, 48.5567732446768], [1.0379018523346253, 48.55660887231115], [1.0380391682475416, 48.556389723162795], [1.0380585704361354, 48.55616412136969], [1.0383608485759483, 48.556084899112385]], ""type"": ""LineString""}";283;1115;283.22356661;283.22356660623717
Senonches;;;parcelle 683 section A;28373;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr29.1;tr29.1-28373;F15.eau,TPerche.25-28373;Oui;1;Parcelle communale;Commune;Domaine privé de la commune;2009-07-03;2009-04-15;;;;;;48.55247360500684, 1.0416281988183484;"{""coordinates"": [[1.0419302425851775, 48.55319457399741], [1.0419085326781268, 48.55294403580682], [1.0412555976024234, 48.55180899155863], [1.0412345234121019, 48.55178300912532]], ""type"": ""LineString""}";166;1116;166.24498079;166.24498079685821
Senonches;;4;dit chemin de Sauveloup;28373;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr62.1;tr62.1-28373;;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2009-07-03;2009-04-15;;;;;;48.56787430060878, 1.0240163396282775;"{""coordinates"": [[1.0229530643768299, 48.56839851332922], [1.0237517431826135, 48.56806386258771], [1.02438868776285, 48.56766920885202], [1.0248382544692134, 48.567397163988915], [1.025056938439367, 48.56730556298669]], ""type"": ""LineString""}";197;1117;197.94382115;197.94382114680263
Nottonville;;34;de Vallière à Larry;28283;Cœur de Beauce;Voves;CHATEAUDUN;tr12.1;tr12.1-28283;THVL.11-28283,F27.B-28283;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-07-04;2008-04-04;;;;;;48.11717849068529, 1.4785056011220634;"{""coordinates"": [[1.4806561203444428, 48.11489578364869], [1.4799741206281465, 48.11558054095821], [1.4795251416082527, 48.11604505472313], [1.4784817009388844, 48.117216934777055], [1.4779723903859534, 48.11778913212366], [1.4771328293341672, 48.1186999188769], [1.4763148977830682, 48.11941840597411]], ""type"": ""LineString""}";597;1125;597.95236659;597.9523665872601
Nottonville;;33;de Vallière à Villiers-Saint-Orien;28283;Cœur de Beauce;Voves;CHATEAUDUN;tr13.2;tr13.2-28283;THVL.11-28283,F27.B-28283;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-07-04;2008-04-04;;;;;;48.112348151114034, 1.4829192276541268;"{""coordinates"": [[1.482259594469179, 48.1133465136045], [1.4824845172162302, 48.11301668656155], [1.4829444370029607, 48.11236736774019], [1.4833411646434824, 48.11160251049651], [1.4835022692528403, 48.11145655080552], [1.4836088866224253, 48.111391465333796]], ""type"": ""LineString""}";241;1130;241.04839274;241.04839273704226
Saint-Victor-de-Buthon;;5;de la Madeleine au Goulet;28362;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr26.1;tr26.1-28362;TPerche.11-28362;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-07-03;;;;;;48.42776937705983, 0.9888772810497094;"{""coordinates"": [[0.9930960535766907, 48.423393112046774], [0.9911011814545292, 48.425444968482964], [0.9897026592742194, 48.4268609235072], [0.9887993106987647, 48.42785912626836], [0.9869723308634011, 48.42973784304413], [0.9858229773844892, 48.430907304136554], [0.9853022595240855, 48.43152973383808], [0.9850021541965159, 48.43195735747215], [0.9848243437573005, 48.432278759057354]], ""type"": ""LineString""}";1163;1136;1163.33224822;1163.3322482181766
Saintigny;SAINTIGNY;1;de Laudonnière à Saint-Hilaire-des-Noyers;28331;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr21.2;tr21.2-28331;F7.B-28237,VTT16-28165,GR35-28000;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-10-22;;;;;;48.341246367829946, 0.9563838537173387;"{""coordinates"": [[0.9515142067771597, 48.34558032891949], [0.9515764757419686, 48.34552235066782], [0.9520786640021669, 48.34502811475053], [0.9522931117818276, 48.3445933731918], [0.952540874447805, 48.343912940716095], [0.9526974634459966, 48.34359291464311], [0.9529287987082588, 48.34337593282138], [0.9533129730955244, 48.343270177383175], [0.954159174147659, 48.3431876442295], [0.9548105798786433, 48.342970295824095], [0.9556238725264189, 48.34275490988697], [0.9561386324075749, 48.34254745320668], [0.9563711034012682, 48.342374299182396], [0.9565123555848796, 48.34217087858321], [0.9567522464898729, 48.34190462430794], [0.9568845917647354, 48.341807848234474], [0.9573976448523274, 48.341620482567315], [0.9578301465356382, 48.34144696710854], [0.9579153217188853, 48.34138747527882], [0.9580662017084962, 48.34125482217657], [0.958551325664185, 48.340461177969495], [0.958681298270077, 48.33998335664285], [0.9590288974734533, 48.339198770136335], [0.9590552579709749, 48.338961098190396], [0.9590228858620303, 48.338764324307625], [0.9590283921114393, 48.338253876297856], [0.9592245426298399, 48.33754287761843], [0.959361024035757, 48.33704421213794], [0.9596451654094471, 48.336165206602836], [0.9596880781407273, 48.33583064039421], [0.9596713369541439, 48.33568850037723]], ""type"": ""LineString""}";1370;1144;1370.93160065;1370.9316006450579
Saintigny;SAINTIGNY;;sans nom, section G;28331;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr19.2;tr19.2-28331;VTT6-28331,VTT16-28165,T28.22-28387;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-10-22;;;;;;48.330182010189326, 0.9681884933110624;"{""coordinates"": [[0.9712692212044785, 48.33337709235467], [0.9712818778006073, 48.33304869474971], [0.9712789823400579, 48.332771706970846], [0.9711414716928417, 48.332026521054466], [0.9707441287231807, 48.3314345071358], [0.9704659003540032, 48.331127329308636], [0.9701894788423951, 48.33091045036342], [0.9691827551816113, 48.33043617779254], [0.9684814942119272, 48.3301002940362], [0.9676385972361785, 48.32973339845343], [0.966965905302642, 48.32939799565484], [0.9664820681471888, 48.32916584704238], [0.9657947475977708, 48.32883971070514], [0.9648624171064274, 48.328385532748236], [0.9645972764396101, 48.32822380969584], [0.9643321360180076, 48.328062086906804], [0.9640130595550442, 48.3277769753258]], ""type"": ""LineString""}";871;1146;871.64771671;871.6477167060089
