"geometry","juridique","pdipr","nom_commun","deliberati","nom_juridi"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[291100.371655364,6839327.847510073],[291101.524136833,6839314.784957892],[291100.71399321,6839299.911045999],[291098.589257682,6839263.411634697],[291094.775885977,6839244.204858833],[291094.771634153,6839244.204276827]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZP(94) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[291049.405646311,6839240.788815605],[291030.220891247,6839247.126678537],[291001.816891584,6839260.418594628],[290983.909627824,6839266.7398182],[290934.894923937,6839282.017660921],[290908.969125655,6839290.352642942],[290881.164700882,6839303.639695846],[290852.79488572,6839321.148633666],[290831.141713721,6839335.075376702],[290817.581381395,6839341.361357904],[290796.566603838,6839348.976959407],[290773.013106733,6839354.084759212],[290755.625373804,6839354.225719221],[290741.260243662,6839349.994956404],[290725.810928643,6839348.861007136]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZP(92) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[290629.176342758,6839448.341012985],[290618.290840735,6839447.62002833],[290591.5493911,6839440.401570457],[290562.659590734,6839434.449729],[290530.332511004,6839429.794939925],[290490.370702234,6839430.118896706],[290466.137253752,6839432.713814072],[290429.538417334,6839437.367719184],[290393.022064496,6839441.10154273],[290335.932766722,6839444.082728541],[290312.33657544,6839443.924235091],[290288.715433839,6839440.687912536],[290254.909022824,6839434.765926958]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZO(29) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289464.925727966,6839861.490579394],[289484.490723899,6839834.079641079],[289514.642087935,6839795.939472461],[289532.957697875,6839766.020047287],[289548.290244505,6839737.95363324],[289564.817076376,6839712.975557482],[289575.89932273,6839696.865971477],[289587.499973803,6839674.436222964],[289597.79081331,6839642.06345831],[289608.101813728,6839615.876574163],[289615.915083542,6839592.238319637],[289620.101389803,6839572.387061866],[289619.124350025,6839522.127137023],[289618.077616219,6839478.063815287],[289615.463031962,6839451.402079257],[289611.554878108,6839435.294084109],[289600.291950934,6839414.318858648],[289575.112803513,6839374.218745826],[289553.680454714,6839330.320673418],[289525.282922633,6839270.439325114],[289514.53912403,6839246.931511832],[289509.391381822,6839233.242025824],[289504.293812755,6839210.947639706],[289498.250684585,6839157.071135522],[289495.701147278,6839138.433742984],[289498.613599714,6839116.773982587],[289500.881089537,6839100.615932546],[289500.883662553,6839100.606237923]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZO(40) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289500.883662553,6839100.606237923],[289509.317854408,6839068.827847429],[289519.035114564,6839039.6676947],[289531.214924046,6839014.714875414],[289541.042588875,6838999.175109445],[289544.767944354,6838992.850542349]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZX(5) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[291190.21643673,6837910.933626601],[291190.218749781,6837910.934348883],[291203.522616874,6837913.694652431],[291214.745874353,6837914.982778274],[291235.453782999,6837913.895481996],[291285.798024249,6837907.301288497],[291314.026324491,6837901.925729522],[291363.834273158,6837888.350357712],[291379.729772529,6837885.353324208],[291393.445244069,6837883.413298875],[291413.59100835,6837883.249967969],[291434.313823764,6837884.001369082],[291479.155970721,6837890.273558747],[291503.101427028,6837892.837652683],[291521.06335602,6837893.261660532],[291554.009429002,6837889.216969134],[291590.589746045,6837882.28464359],[291628.200686936,6837873.04543414],[291660.613220334,6837862.359324836],[291687.327023612,6837851.379636021],[291717.292071806,6837834.64725657],[291748.741233314,6837816.07401589],[291770.743742906,6837804.562888575],[291786.271475102,6837796.88183577],[291800.286086585,6837791.161801837],[291814.798831673,6837787.716268606],[291827.483031069,6837784.30554788],[291842.138863233,6837783.717022316],[291880.721597136,6837783.404200267],[291921.24930807,6837782.625895649],[291950.625365215,6837790.739248128]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZT(8) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289202.385387231,6841289.40733511],[289202.756659551,6841279.79108247],[289199.267625408,6841271.004989429],[289161.290092688,6841220.235422203],[289137.443759025,6841185.520993154],[289132.064445274,6841172.852710501],[289123.1794128,6841149.339785195],[289110.125015215,6841107.082644058],[289094.500190061,6841073.201004216],[289075.927948144,6841041.871640787],[289054.264074927,6841010.097636825],[289042.797438796,6840993.581184771],[289030.813234234,6840972.391914624],[289022.375020956,6840948.418111132]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZI(65) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[288811.003552399,6840958.823343162],[288798.787912476,6840949.768199609],[288775.180680028,6840948.25063244],[288748.00702418,6840943.194249775],[288720.016649211,6840937.245060599],[288691.549620205,6840927.971859527],[288680.682442229,6840926.231107365],[288672.76801684,6840926.295254734],[288669.701412229,6840928.93843773],[288668.456311068,6840930.677425268],[288672.024482928,6840945.529001573],[288677.890315644,6840966.438074918],[288677.068865419,6840976.058593348],[288674.681444492,6840992.21763684],[288666.568821774,6841023.313575191],[288662.852507048,6841045.669439934],[288651.987255362,6841103.350728788],[288648.181084368,6841125.717316774],[288649.34197999,6841157.977304312],[288649.689119317,6841200.807144282],[288647.848944601,6841240.096985309],[288641.639221815,6841280.331662514],[288641.302767559,6841294.305470876],[288642.163860376,6841304.372061156],[288647.177622348,6841313.48274914]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZI(30) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289272.028859366,6840770.750338838],[289294.099856689,6840753.516268138],[289326.786935492,6840732.304698369],[289364.450039304,6840703.597556207],[289404.09060459,6840678.432112036],[289420.153640354,6840666.509442648],[289427.524331186,6840658.544747583],[289429.615985274,6840650.283060051],[289427.719638494,6840641.953762081],[289426.389893414,6840633.250107662],[289429.713210036,6840617.892963254],[289436.193713502,6840599.97184934],[289456.80194278,6840556.992156048],[289474.896284535,6840529.363046054],[289488.724446337,6840511.732151062],[289508.244228483,6840489.817828353],[289524.274779399,6840473.887983016],[289537.1745668,6840456.384536769],[289543.261113528,6840445.34222441],[289545.382745291,6840437.080294998],[289539.017465034,6840417.434477305],[289532.367381445,6840399.639787056],[289523.992293618,6840383.557993969],[289519.094252202,6840374.783329233],[289515.924779295,6840364.735457758],[289513.642854916,6840349.523687441]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZN(13) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289928.9596452,6840185.86068345],[289927.800529846,6840157.487118528],[289926.453203585,6840146.614996396],[289912.071873402,6840096.003998986],[289908.888546094,6840084.247335218],[289905.772857426,6840080.83478901],[289901.846848354,6840077.31888165],[289897.492460431,6840076.434766649],[289890.960712893,6840076.937426395],[289873.93530193,6840081.092868388],[289867.432561185,6840081.475369538],[289862.595757295,6840080.255382136],[289856.830912059,6840075.505178995],[289829.992257952,6840052.597518594],[289814.148704707,6840036.116565612],[289795.236210251,6840018.291364975],[289784.273203202,6840008.426595068],[289773.718058643,6840004.49472393],[289762.375841719,6840003.327469387],[289747.012811946,6840001.743095057],[289740.016558284,6840000.420688509],[289734.389125992,6839997.827991265],[289725.178907201,6839989.677907609],[289697.764931396,6839954.972455721],[289672.58301711,6839914.532566226],[289649.901670148,6839871.893801228],[289631.74371427,6839836.193910524],[289621.934365385,6839809.610474396],[289614.769223504,6839787.452761121],[289608.115401257,6839772.846950908]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZO(18) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289721.883818368,6838821.272163847],[289715.840185778,6838811.717302833],[289692.935070006,6838767.361491815],[289681.580987382,6838749.934745815],[289667.661840285,6838730.361190554]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZX(34) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289473.97742507,6838777.491004925],[289465.674762602,6838770.342925276],[289448.783135163,6838776.2061799],[289372.601324093,6838813.120455874],[289332.922830375,6838833.599174911],[289273.786820581,6838868.876236524],[289221.321985279,6838906.057967754],[289202.608845877,6838916.523047373],[289186.17426895,6838923.292012003],[289172.716272838,6838927.408532031],[289156.699788605,6838930.276602575],[289136.554009924,6838930.439896354],[289110.225219912,6838929.743888922],[289084.712005013,6838933.498416778],[289042.27565054,6838939.228937942],[289017.681573576,6838941.716820475],[288996.732846062,6838942.686108483],[288969.367118168,6838939.819897728],[288941.607858689,6838936.48717685],[288886.12784716,6838927.093285219]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZX(33) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[288512.789088019,6838591.336206071],[288544.384442895,6838591.529748304],[288570.128804964,6838590.401675012],[288587.557681502,6838591.639527546],[288609.002414431,6838596.382564611],[288651.224884425,6838608.65226448],[288689.660799899,6838616.115752068],[288742.60193357,6838622.902027864],[288789.696477463,6838625.948115943],[288809.598775449,6838625.337088866],[288821.266382037,6838622.26442604],[288841.567172569,6838615.334213683],[288848.3304005,6838613.80034239],[288899.288568733,6838616.365398191],[288919.689967248,6838618.148787821],[288928.972864935,6838620.472009644],[288933.82731959,6838623.870460317],[288942.642757314,6838638.79940015],[288952.953410877,6838653.256515098],[288961.255784214,6838660.96964076]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","YB(26) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[288512.783113113,6838591.336169471],[288497.699017098,6838579.775910678],[288452.290438117,6838544.306906449],[288434.194864924,6838527.3944997],[288403.826809258,6838498.109551392],[288387.215831494,6838483.113876404],[288379.978311038,6838477.915904139],[288320.970448805,6838443.926244006],[288278.560444396,6838423.313401384],[288248.334292966,6838411.536084686],[288218.276664373,6838402.055928938],[288202.171175774,6838393.941744491],[288179.722835554,6838380.04270719],[288158.62938626,6838363.154596581],[288133.724265736,6838342.060093828],[288119.59738072,6838333.929872553],[288080.159984401,6838313.872561747],[288080.155572795,6838313.870591162]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","YB(35) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[288080.155572795,6838313.870591162],[288074.864193143,6838311.507026291],[288049.557451806,6838311.142496965],[288022.80948422,6838303.114565845],[288011.101315595,6838297.483126877],[288011.054017318,6838291.647249952],[288014.42422356,6838285.773681452]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","YB(35) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[288014.433240982,6838285.768010395],[288024.565998553,6838279.395519236],[288035.597269588,6838268.093298495],[288040.000941203,6838260.262602784],[288042.774741803,6838251.085987777],[288043.625200478,6838241.345332514],[288042.827246746,6838202.076968294],[288045.73887367,6838191.410190902],[288057.103511145,6838169.452096095],[288075.347401934,6838145.47950189]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","YA(18) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[290649.622208123,6839033.590789534],[290646.844778446,6839042.317734585],[290646.937535693,6839053.7596592],[290645.045436802,6839075.541067837],[290641.87648506,6839095.144228652],[290637.049957488,6839106.28625075],[290628.232188087,6839120.658582469],[290619.655383379,6839135.168871297],[290615.724494301,6839145.843927092],[290614.085288074,6839154.441722252],[290613.488430472,6839180.669780147],[290614.350678062,6839187.178620608],[290621.10869802,6839203.493360201],[290638.519563149,6839232.093823307],[290647.669739521,6839243.932022635],[290653.771885734,6839249.608889859],[290660.010964528,6839253.685670104],[290679.313682224,6839264.17237696],[290693.363621001,6839273.902178486],[290704.898172146,6839284.002147953],[290709.088796748,6839294.271583027],[290714.98366494,6839315.060463008],[290718.460782685,6839333.470478098],[290725.809358102,6839348.857718568]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZP(89) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[290725.805417058,6839348.862499557],[290718.391971086,6839350.869904634],[290689.288083291,6839362.888306569],[290658.370472082,6839376.770228583],[290641.717451378,6839386.179297805],[290636.846366763,6839391.825199894],[290634.393194682,6839399.869953387],[290633.799273398,6839411.667224213],[290636.504063888,6839434.660573955],[290635.984530141,6839440.84083486],[290629.179725807,6839448.341237056],[290629.176342758,6839448.341012985]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZP(92) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[291235.005925353,6839326.764439703],[291238.378055064,6839332.22359106],[291239.239495802,6839338.632502619],[291235.425597019,6839363.737382207],[291226.610317513,6839408.000580084],[291219.679988196,6839440.695887406],[291206.878492053,6839485.111328172],[291201.47563169,6839510.219098914],[291200.144713752,6839530.956632117],[291197.347439561,6839540.932925756]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZP(79) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[290225.228634169,6840958.592765608],[290209.716008302,6840964.444859832],[290194.891593998,6840973.829116117],[290170.88860409,6840990.063450324],[290155.464942217,6840995.794899375],[290145.63648429,6840996.444207941],[290139.987411436,6840994.881028222],[290127.577704584,6840987.776225338],[290107.447877609,6840975.117589798],[290089.847044347,6840967.465243737],[290072.710239508,6840957.880367556],[290052.087959656,6840939.949092823],[290029.699120343,6840918.604327007],[290015.748672173,6840906.355306052],[290007.471023692,6840902.295041805],[289998.160963237,6840900.321819021],[289984.297676432,6840898.825224555],[289968.280608181,6840897.925718667],[289934.870918879,6840900.265220993],[289895.739717621,6840903.20075052],[289867.47310432,6840907.557246164],[289836.606671173,6840912.964158105],[289818.088063258,6840914.143613228],[289777.993332903,6840912.869642585],[289722.315341516,6840908.733896074],[289683.112858123,6840902.875612852],[289667.152273148,6840897.848281057],[289658.878138288,6840893.789737442]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZN(18) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[293945.823379466,6832851.098529466],[293964.296324525,6832844.303002784],[293984.168138265,6832836.246936703],[294008.474935403,6832827.925051673],[294029.509927262,6832822.817644626],[294047.657887246,6832816.614372236],[294061.725508747,6832813.742064306],[294074.196647741,6832813.64092516],[294085.989460324,6832814.924397878],[294094.962174637,6832819.668524721],[294099.589760454,6832824.667748257],[294102.735997256,6832831.847587236],[294101.125676418,6832844.002818582],[294098.820172546,6832855.464138885],[294098.448217052,6832868.74859299],[294101.673705682,6832882.0038724],[294111.519631489,6832898.30346381],[294118.210617545,6832903.391254896]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","BR(59)commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[291986.138376544,6832315.135545647],[291972.03996827,6832314.210529437],[291958.285505991,6832326.124438099],[291943.411218252,6832340.43588534],[291929.399181627,6832350.163294502],[291915.009169886,6832353.94760489],[291899.825384151,6832358.645270582]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","BL(113) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[287330.222541389,6838328.425809191],[287342.710125075,6838330.842184263],[287354.415713424,6838332.45622458],[287364.398403298,6838336.042972426],[287374.068899981,6838341.800860695],[287398.806715015,6838357.050479344],[287418.353997521,6838368.124865484],[287436.401543598,6838375.413839014],[287449.356753607,6838379.546131216],[287458.093629409,6838381.084294032],[287471.388176982,6838382.695449573],[287494.754555903,6838384.095062813],[287536.775455821,6838386.292884434],[287573.916043973,6838389.2997636],[287589.745496209,6838392.94905501],[287611.796991477,6838402.274251223],[287624.020049527,6838412.248736108],[287631.650021963,6838421.569979837]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","YA(7) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[285518.671125222,6829126.703477476],[285518.659456542,6829126.695381624],[285513.226330686,6829133.275171444],[285508.80778059,6829139.267115565],[285507.395430817,6829146.264032389],[285506.407396999,6829153.827141674],[285508.641919298,6829174.295755902],[285511.386528073,6829202.215405106],[285511.941879578,6829215.252452311],[285511.003420272,6829225.233592862],[285507.258120906,6829258.81219935],[285505.532112071,6829286.298381515],[285501.799219299,6829317.70829439],[285500.944793891,6829341.759636416],[285499.989491547,6829349.662261431],[285457.630614617,6829350.115435097],[285454.103552071,6829354.031777728]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZL(9) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[286026.281158328,6829121.108843417],[286026.275092738,6829121.102875344],[286015.907000113,6829110.643729033],[286013.96331521,6829096.46867827],[286015.116738596,6829083.417784696],[286038.32914693,6829051.040543406],[286068.356769371,6829012.452064301],[286080.54736862,6828992.536121351],[286090.899231611,6828971.395882593],[286100.696498238,6828948.411336975],[286106.636437307,6828919.282054615],[286115.523104038,6828872.720180161],[286120.218922693,6828845.449782789],[286122.436445339,6828808.325871662],[286124.059125975,6828782.889206832],[286123.374540918,6828768.703956354],[286120.050949074,6828754.43016331],[286116.868488448,6828742.77352885],[286108.140800206,6828723.601491802]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZL(41) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[286087.609528025,6828410.066582382],[286067.803256462,6828407.708721905],[286046.713493544,6828406.050814893],[286031.838528974,6828405.481805314],[286020.131900555,6828403.727872225],[286008.880068808,6828398.902243821],[285989.653561864,6828386.696069906],[285965.370165854,6828372.002515667],[285934.326851484,6828355.544921394],[285887.109551566,6828333.602038754],[285867.763132559,6828321.39683552]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZL(105) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[285867.763132559,6828321.39683552],[285859.849709259,6828332.673688041],[285852.469422012,6828343.146738969],[285842.692241447,6828350.111502137],[285830.24617398,6828353.300356623],[285816.061348754,6828356.503301151],[285784.47874322,6828358.588046491],[285763.529302494,6828359.447363932],[285732.490296232,6828358.319784144],[285706.448822684,6828352.354818311],[285677.319555613,6828346.414873843],[285660.566664967,6828339.785019894],[285625.755286105,6828324.497214031],[285605.315192693,6828317.917225539],[285591.000429515,6828316.184423525],[285572.433485653,6828315.075695882],[285538.458182153,6828317.869376622],[285508.679249567,6828316.851502831],[285482.057982351,6828309.632048009],[285465.828998632,6828301.059204359],[285442.850480038,6828288.303803428],[285414.909787355,6828273.649870088],[285414.908678812,6828273.654672394]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZK(18) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[291950.625365215,6837790.739248128],[291950.636322579,6837790.742274434],[291958.860079099,6837788.157211144],[291967.143145792,6837781.794088077],[291975.851993883,6837768.781772272],[291980.487206358,6837759.929839835],[291980.873691465,6837752.131702438],[291978.275745561,6837742.319069337],[291967.709676272,6837722.247658176],[291957.740913423,6837709.286843448],[291910.193394011,6837661.46325579],[291889.701263104,6837633.697308756],[291881.317814716,6837616.586293253],[291881.318980886,6837616.585766311]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZT(8) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[286768.430464423,6829615.30729175],[286768.431905623,6829615.314329072],[286793.269055501,6829628.044665955],[286813.187931682,6829640.595004083],[286844.258176556,6829660.370229818],[286947.192258643,6829746.779511933],[286947.194854343,6829746.782491045]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZI(3) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[287366.360775969,6829988.402300484],[287366.360379094,6829988.403691911],[287359.600074768,6830001.390110431],[287353.574875563,6830019.996928884],[287335.234267853,6830046.81830705],[287306.405582525,6830077.971938457],[287293.515196071,6830096.624404121],[287279.471354638,6830117.224963285],[287272.841248714,6830131.479505803],[287272.24743446,6830143.274150925]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZN(32)commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[288756.420122127,6830608.793186274],[288756.432589183,6830608.798063928],[288759.948071024,6830591.260893177],[288763.062959241,6830579.783052471],[288766.945359206,6830577.922765506],[288772.610682424,6830574.099287054],[288775.690309705,6830569.367368882],[288775.071388119,6830566.858333557]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZH(13) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[288835.264340984,6829967.687926196],[288809.171943645,6829984.154473158],[288802.121685166,6829990.957255054],[288795.770331055,6829998.913621357],[288775.506943965,6830080.715032368],[288773.351876408,6830084.849836106],[288768.440970664,6830085.579196726],[288752.270502857,6830084.231228769],[288720.616411415,6830077.502331511],[288682.458740476,6830071.046007633],[288675.35380607,6830071.103598441],[288667.926558743,6830072.083206714],[288657.776593593,6830077.442064412],[288647.808533936,6830079.3516791],[288633.069255701,6830080.730336524],[288594.616884013,6830082.301204759],[288575.487685467,6830082.106486176],[288560.565142562,6830079.36929315],[288528.325664007,6830070.696397473],[288511.804939393,6830066.822902045],[288497.048084648,6830066.033103984],[288460.415985923,6830066.549886445],[288437.263253114,6830065.598289855],[288369.451216215,6830058.702761423]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZH(17,28) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[287519.212450831,6829748.911553224],[287519.209108278,6829748.909153039],[287503.741077601,6829760.247257964],[287482.206906036,6829774.04296816],[287460.047581001,6829780.988184162],[287441.415702149,6829782.968007429],[287427.251272844,6829788.689176603],[287415.540218304,6829797.488455529],[287392.837526355,6829821.831339431]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZI(21) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[289408.706417953,6832560.088940289],[289403.475951893,6832565.515679951],[289378.044850631,6832575.685400018],[289315.38091926,6832601.037332528],[289261.293003908,6832622.881962565],[289219.956899027,6832638.567131284],[289182.636163193,6832650.302277631],[289145.843216827,6832660.574086013],[289127.793851407,6832664.148181982],[289097.008241398,6832668.405142907],[289070.964934128,6832673.323211092],[289070.956929082,6832673.326461671]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","Chemin des Landes"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[290525.184075099,6832397.044997427],[290493.785182495,6832392.033201111],[290462.485009992,6832388.289532328],[290442.678335351,6832389.589370241],[290402.769897879,6832392.771063373],[290370.83668136,6832395.998029582],[290347.061555346,6832399.638548357],[290332.660278983,6832402.033828156],[290306.62872242,6832412.098505236],[290278.199761841,6832422.292546358],[290267.216055175,6832424.660119593],[290257.95742132,6832425.324797628],[290233.561500744,6832422.654422526],[290067.480349966,6832401.905063866],[289982.772844154,6832389.310331233],[289937.049120198,6832385.213879244],[289892.238939242,6832379.161277529],[289865.854301786,6832375.257823406],[289847.975185575,6832370.246089161],[289831.194266227,6832363.049761663]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","ZI(32,50) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[292167.440194446,6833183.685278338],[292173.66737905,6833191.053100576],[292180.67302544,6833200.272239169],[292184.757852841,6833207.516194573],[292187.683637574,6833215.237642637],[292189.468608094,6833220.85923609],[292190.034885475,6833228.944089663],[292188.927842676,6833250.026425374],[292187.471691896,6833277.474173286],[292184.455418282,6833291.160116484],[292178.490782532,6833302.476515215],[292168.690628602,6833318.619152255],[292162.699052882,6833338.061781756],[292159.287334705,6833351.775310255],[292158.762151797,6833367.763543146]]}","chemin rural","2024-06-24","LAMBALLE-ARMOR","2023-12-11","AK(508)commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[295910.794794007,6830424.85272747],[295911.186253505,6830420.2573255],[295949.397112225,6830412.742477111],[295959.685326677,6830406.280039662],[295967.53698506,6830396.220132423],[295972.41320843,6830383.393048542],[295962.415338398,6830373.976429744],[295963.0951884,6830360.845640245],[295972.639373487,6830352.254178465],[295975.11379944,6830339.19711614],[295977.655452935,6830336.457454031]]}","chemin rural",NULL,"NOYAL",NULL,NULL
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[256393.305440256,6850548.106684605],[256397.254846959,6850543.923961854],[256400.906566498,6850538.503251],[256402.700971402,6850532.136805127],[256405.503856666,6850525.98992562],[256409.057001852,6850520.576738792],[256412.215777034,6850515.19368534],[256414.73135189,6850507.882206589],[256415.74453977,6850501.674309253],[256417.290146308,6850493.349267152],[256418.968809181,6850487.778052233]]}","chemin rural",NULL,"GOUDELIN",NULL,NULL
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[298365.248505837,6852297.535251905],[298344.735524227,6852293.114541613],[298266.323150477,6852254.715185941],[298196.677359078,6852221.501405329],[298138.856996164,6852193.568311946],[298133.526755647,6852186.965731682],[298108.248997766,6852131.076075067],[298090.797834451,6852097.548821501],[298073.959077402,6852069.293280731],[298067.636645711,6852051.255949491],[298066.554206105,6852043.479628738]]}","chemin rural","2022-06-20","ERQUY","2021-02-25","CR du Portuais a la C?te du Guen"
