"geometry","juridique","pdipr","nom_commun","deliberati","nom_juridi"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[318582.112136011,6811935.880631682],[318582.111754523,6811935.880566108],[318563.945263832,6811928.69310578],[318555.6751683,6811925.552461054],[318547.904223351,6811924.806175683],[318542.960657328,6811925.196137882],[318539.318261053,6811927.064538732],[318535.675783523,6811928.922946829],[318526.555494697,6811935.522792702],[318509.941296567,6811945.95108097],[318498.975598518,6811950.507288623],[318488.721010026,6811954.028393709],[318471.701657098,6811958.873660994],[318456.825707271,6811961.852721248],[318441.08761979,6811969.415771253],[318437.727537582,6811965.445726736],[318417.203003123,6811959.536605],[318382.577403622,6811956.040611539],[318344.633724717,6811950.053255217],[318319.423161775,6811946.710562315],[318312.109446107,6811946.889944982],[318307.086994271,6811948.639650963],[318302.778252253,6811953.361589644],[318295.181084448,6811962.927085966],[318287.318986665,6811969.406773413],[318280.718899417,6811972.548395913],[318271.35902666,6811975.492600864],[318260.605206207,6811976.609351802],[318250.538123042,6811977.380743541],[318241.041520107,6811978.257424615],[318234.259938337,6811977.51308705],[318231.159180816,6811975.939351393],[318230.290555783,6811968.614790272],[318230.297449699,6811968.581195747],[318237.629848965,6811938.441448004],[318245.921959892,6811933.227427639],[318254.398246188,6811932.22912755],[318265.631555803,6811934.776058686],[318268.201885544,6811941.170928785],[318273.137815064,6811943.529216656],[318278.977153701,6811942.692262851],[318280.205530126,6811938.904768149],[318281.535133731,6811932.817966887],[318287.919767352,6811928.988551064],[318303.776793146,6811921.30461536],[318318.713755017,6811914.767408142],[318330.711793528,6811911.811747566],[318343.313865559,6811913.088380421],[318359.941308497,6811915.351613538],[318375.637080528,6811917.741809371],[318375.640401004,6811917.742315022],[318391.448276202,6811918.763035158],[318398.674900528,6811918.934129336],[318403.095837508,6811916.949471716],[318409.82810431,6811911.628211338],[318412.432965726,6811937.020266853],[318411.546782421,6811953.396672483],[318417.202662497,6811959.536235243]]}","chemin rural","2025-02-03","CAULNES","2024-07-12","C(287,288,282,283,285,286) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[332730.68490967,6832595.84315349],[332723.846584701,6832573.228477466],[332716.25966373,6832539.861719373],[332709.95124945,6832512.550656268],[332686.033989377,6832443.479867458],[332678.458133156,6832411.47214911],[332672.914347841,6832404.431831919]]}","chemin rural","2025-12-15","LA VICOMTE-SUR-RANCE","2025-06-12","B(732) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[231225.189873,6802487.780965301],[231215.274659307,6802495.63353464],[231200.79114117,6802507.167370631],[231184.91594742,6802518.812697615],[231157.508666628,6802536.369172904],[231132.733808337,6802554.313359928],[231118.091794888,6802563.86508266],[231102.909274048,6802571.664683888],[231079.551178455,6802582.313745566],[231060.51183312,6802589.424970611],[231025.916658185,6802602.171518224],[230998.51895772,6802612.346587892],[230958.897796143,6802627.291698553],[230928.65287401,6802641.884612775],[230894.741833729,6802658.167951894],[230858.755238252,6802676.014282941],[230837.78716549,6802688.847174065],[230781.945447422,6802748.801630262],[230750.249361215,6802793.383032901],[230707.790265398,6802872.046363343],[230673.322561285,6802926.27756412],[230632.11189894,6802986.235907047],[230596.728680762,6803035.858409764],[230555.991410302,6803094.874725367],[230538.798681523,6803119.991902744],[230522.878492176,6803141.017393907],[230497.097831958,6803178.79212887],[230465.687645519,6803216.220534751],[230465.561564158,6803216.352366793]]}","chemin rural","2026-06-22","MELLIONNEC","2025-12-18","CR136"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[247678.209640697,6824826.011634773],[247678.138904967,6824825.960534482],[247675.029031229,6824821.831218156],[247673.793619654,6824818.748460923],[247673.73891557,6824815.474777027],[247674.375796771,6824808.273522533],[247676.862544761,6824797.948813755],[247678.565797132,6824790.366821501],[247682.18732201,6824779.258734779],[247686.212107387,6824766.927366409],[247691.676431834,6824753.888317547],[247696.060164914,6824743.61504383],[247701.129479997,6824733.18924514],[247711.413153499,6824712.922360347],[247719.83219106,6824696.872722665],[247726.94193168,6824683.209280462],[247738.589282498,6824662.538526741],[247745.280528767,6824649.900837674],[247749.79411129,6824640.014714905],[247753.097375283,6824632.507135704],[247756.004512641,6824625.030273234],[247762.815770461,6824607.515844538],[247768.27887895,6824590.602608895],[247773.841574559,6824574.97296573],[247781.739762963,6824550.917340323],[247783.938936402,6824544.587995321],[247786.732327442,6824538.212562144],[247791.650390513,6824529.685640302],[247797.063135591,6824519.828984645],[247800.693764397,6824511.401889543],[247803.37284096,6824504.836626856],[247804.437226803,6824499.290601159],[247836.767301552,6824512.77661995],[247864.465015484,6824525.628593158],[247884.01725273,6824534.940127326],[247893.412271541,6824539.17844938],[247899.706558389,6824543.259849025],[247909.947908902,6824549.419269344],[247927.146593909,6824560.5027169],[247936.763534732,6824567.604578085],[247943.279753682,6824574.549490493],[247954.506081471,6824586.989974514],[247963.77463883,6824599.880219968],[247971.587313569,6824610.697964412],[247971.587613224,6824610.698275244]]}","chemin rural","2026-06-22","SAINT-GILLES-PLIGEAUX","2026-02-13","WX(42,52,44)commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[241501.656013764,6843702.652582089],[241499.36513545,6843701.593986571],[241481.717049133,6843693.182131789],[241462.541666333,6843684.296615544],[241445.720922336,6843680.077934612],[241431.732883909,6843680.290301638],[241418.2661782,6843683.333498533],[241383.956328483,6843696.637198614],[241337.84932824,6843716.516898619],[241311.180255285,6843725.949973374],[241286.753725844,6843732.334253661],[241254.209775217,6843739.062264912],[241226.386102273,6843743.932378218],[241213.579502965,6843746.527817305],[241202.479753453,6843748.097259062],[241169.228895826,6843745.86967689],[241129.934272804,6843740.059146777],[241115.957250341,6843737.894649654],[241105.237623453,6843735.47298461],[241096.780531179,6843732.773655475],[241095.795811695,6843732.314905639]]}","chemin rural","2026-06-22","MOUSTERU","2025-12-12","ZR(46) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[275019.227956897,6837800.925374378],[275019.229514899,6837800.938228739],[275026.823966274,6837805.793598902],[275031.493215617,6837804.836393983],[275041.203337342,6837800.760620958]]}","chemin rural","2023-05-02","SAINT-BRIEUC","2022-05-09","CV(494,235,236,240,602,551) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[320709.7625486,6844119.258908882],[320709.767272841,6844119.260101994],[320706.104039824,6844125.674078588],[320702.882719306,6844136.95346424],[320697.842254042,6844153.886115983],[320691.930420011,6844172.654558116],[320689.693476511,6844180.904694742],[320687.04544666,6844182.856485943],[320683.492183656,6844183.088409104],[320665.709561167,6844177.923946541],[320658.654419817,6844179.175113986],[320648.895186632,6844184.556038826],[320645.853126165,6844189.696155889],[320636.923263622,6844186.523509648],[320630.452172626,6844184.57399772],[320621.337175865,6844183.648691982],[320608.703911784,6844182.435849536],[320598.953417029,6844177.754530753],[320591.925729956,6844174.438756637],[320580.468110131,6844172.024197395],[320574.179064006,6844170.956242014]]}","chemin rural","2021-10-11","BEAUSSAIS-SUR-MER","2021-03-27","A(2070,1680,2152,2153) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[314541.060246968,6811803.282052069],[314541.049764823,6811803.278706507],[314551.135204552,6811775.255183863],[314559.578073438,6811755.389634875],[314566.798716673,6811743.758590197],[314576.17902102,6811728.572328823],[314599.99822399,6811700.89688626],[314607.589000611,6811690.541989182],[314612.319490526,6811682.378906828],[314616.469186549,6811672.841455209],[314621.081722916,6811661.231607689],[314630.768438213,6811628.414494767],[314641.589904261,6811591.453539142]]}","chemin rural","2025-02-03","CAULNES","2024-07-12","CE 84"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[247977.609852297,6840489.901062752],[247979.110455849,6840483.080982909],[247983.919561755,6840454.880231978],[247989.389460677,6840423.11643035],[247993.772346513,6840386.684406535],[248003.298513171,6840352.462852548]]}","chemin rural","2025-12-15","SAINT-ADRIEN","2025-07-31","ZB(57) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[230465.596518199,6803216.315818468],[230451.843452098,6803230.696174008],[230438.858140447,6803240.913919279],[230404.9756721,6803269.963314139],[230391.736061074,6803277.009930804],[230379.402956577,6803280.393285808],[230355.630006659,6803281.208355322],[230340.870317057,6803283.735716104],[230314.617067216,6803292.301736145],[230293.171316417,6803302.198080387],[230262.940740698,6803315.722849712],[230227.245475261,6803331.929897129],[230179.680789827,6803355.89747302],[230136.891876751,6803373.540774664],[230099.522908352,6803394.108388651],[230072.612935455,6803410.464464772],[230052.365881658,6803424.018677212],[230034.270376663,6803440.423617565],[230015.886127775,6803458.199965113],[229995.935752394,6803482.52454409],[229975.551805139,6803512.56877597],[229958.047588141,6803542.819640008],[229937.15915691,6803577.225010713],[229926.50964793,6803606.151472652],[229925.927544762,6803608.518255306]]}","chemin rural","2026-06-22","MELLIONNEC","2025-12-18","CR137"
